Designator,Mid X,Mid Y,Rotation,Layer
AE1,86.965,-48.84,90.0,top
AE2,60.170831,-57.784185,180.0,top
C1,70.983333,-62.575,270.0,top
C10,88.175,-60.6,270.0,top
C11,63.15,-50.7625,90.0,top
C12,56.905831,-64.136685,270.0,top
C13,65.425,-64.0875,270.0,top
C14,59.030831,-64.136685,270.0,top
C15,63.375,-64.1125,270.0,top
C2,75.675,-54.1,270.0,top
C3,71.875,-54.1,270.0,top
C4,74.741667,-62.5125,270.0,top
C5,78.5,-62.4875,270.0,top
C6,78.9,-54.1,270.0,top
C7,67.525,-62.5625,270.0,top
C8,67.925,-54.1,270.0,top
C9,90.175,-60.6,270.0,top
CLK_TP,86.025,-65.6,0.0,top
D1,65.45,-58.55,270.0,top
D2,67.450804,-58.525,90.0,top
D3,69.451608,-58.575,270.0,top
D4,71.452412,-58.525,90.0,top
D5,73.453217,-58.525,270.0,top
D6,75.454021,-58.475,90.0,top
D8,77.454825,-58.45,270.0,top
D9,79.455629,-58.45,90.0,top
J1,63.6,-46.775,0.0,top
J2,80.55,-46.65,0.0,top
J3,89.4,-64.35,270.0,top
J4,76.9,-46.65,0.0,top
J5,89.4,-56.875,0.0,top
L1,70.55,-48.5,180.0,top
L2,61.175,-62.7,0.0,top
R2,82.425,-63.475,180.0,top
RF1_TP,81.675,-53.475,0.0,top
RF2_TP,83.925,-65.625,0.0,top
SIG_TP,88.775,-54.025,0.0,top
U1,83.6975,-58.475,90.0,top
